NAME,AMOUNT__C,ASSISTANCE_TYPE__C,CATEGORY__C,DATE_PAID__C,EXPENSE_STATUS__C,EXT_HOUSEHOLD__C,VENDOR__C,EXTERNAL_ID__C
June Rent,1110.0,Rent,Housing,05/31/21,Paid,a1KS0000003P8DgMAK,,a0z4N000007oTr9QAE
Move In Fees-First and Last,1600.0,Rental Deposit,Housing,03/18/21,Paid,a1KS0000003P8H6MAK,,a0z4N000007oT7iQAE
Pro Rated Rent-March 2021,400.0,Rent,Housing,03/18/21,Paid,a1KS0000003P8HOMA0,,a0z4N000007oT7nQAE
Portion of June Rent,400.0,Rent,Housing,06/11/21,Paid,a1KS0000003P8H1MAK,,a0z4N000007oUVfQAM
Rental Deposit,1040.0,Rental Deposit,Housing,12/01/20,Paid,a1KS0000003P8CsMAK,,a0z4N000007FeH9QAK
December Rent,1040.0,Rent,Housing,12/01/20,Paid,a1KS0000003P8HNMA0,,a0z4N000007FeHEQA0
Lyft Credit for Work Until 1st Pay Check,100.0,Transportation,Housing,12/18/19,Paid,a1KS0000003P8HIMA0,,a0z4N000005OIpiQAG
May Rent,1110.0,Rent,Housing,05/03/21,Paid,a1KS0000003P8DhMAK,,a0z4N000007oTr4QAE
NES Bill,250.0,Utility Deposit,Housing,10/19/18,Paid,a1KS0000003P8EnMAK,,a0z610000044NnjAAE
Half July Rent,555.0,Rent,Housing,06/29/21,Paid,a1KS0000003P8DfMAK,,a0z4N000007oTrEQAU
June Prorated Rent,655.0,Rent,Housing,06/14/21,Paid,a1KS0000003P8H4MAK,,a0z4N000007oUXhQAM
NES Deposit,250.0,Utility Deposit,Housing,06/09/21,Paid,a1KS0000003P8GuMAK,,a0z4N000007oUUhQAM
NES Arrears,160.87,Utility Arrears,Housing,06/09/21,Paid,a1KS0000003P8GsMAK,,a0z4N000007oUUDQA2
Rental Deposit,1128.0,Rental Deposit,Housing,06/10/21,Paid,a1KS0000003P8GtMAK,,a0z4N000007oUUEQA2
1/2 June Rent,600.0,Rent,Housing,05/07/21,Paid,a1KS0000003P8ETMA0,,a0z4N000007oTyrQAE
May Rent,1200.0,Rent,Housing,05/07/21,Paid,a1KS0000003P8ESMA0,,a0z4N000007oTyqQAE
Rental Arrears (w/in 6 mos),1650.0,Rental Arrears,Housing,05/24/21,Paid,a1KS0000003P8FfMAK,,a0z4N000007oU9qQAE
Metro Water Arrears and Current (w/in six mos),241.85,Utility Arrears,Housing,05/21/21,Paid,a1KS0000003P8FdMAK,,a0z4N000007oU9WQAU
NES Arrears (w/in 6 mos),346.73,Utility Arrears,Housing,05/21/21,Paid,a1KS0000003P8FeMAK,,a0z4N000007oU9bQAE
June Rent,750.0,Rent,Housing,05/24/21,Paid,a1KS0000003P8FgMAK,,a0z4N000007oU9vQAE
Gift Card for Gas (Walmart) (2 @ $25),50.0,Gas Card,Other Assistance,06/11/21,Paid,a1KS0000003P8H2MAK,,a0z4N000007oUVzQAM
NES Deposit w/ Past Due Balance,344.9,Utility Deposit,Housing,12/06/18,Paid,a1KS0000003P8GwMAK,,a0z610000044e4DAAQ
Gift Card for Gas (Walmart) (2 @ $25),50.0,Gas Card,Other Assistance,07/01/21,Paid,a1KS0000003P8HIMA0,,a0z4N000007oUnFQAU
Rental Deposit,636.0,Rental Deposit,Housing,07/23/18,Paid,a1KS0000003P88lMAC,Marina Manor East,a0z610000044RO6AAM
School fee,897.0,Tuition,,06/21/18,Paid,a1KS0000003P8EXMA0,,a0z610000044KOVAA2
Kroger Card,50.0,Groceries/Food Box,Other Assistance,07/31/18,Paid,a1KS0000003P8AVMA0,,a0z610000044WcUAAU
Rental Deposit,950.0,Rental Deposit,Housing,03/05/21,Paid,a1KS0000003P8DLMA0,,a0z4N000007oT8HQAU
Rental Assistance,950.0,Rent,Housing,03/05/21,Paid,a1KS0000003P8H7MAK,,a0z4N000007oT7OQAU
June Rent,1400.0,Rent,Housing,06/03/21,Paid,a1KS0000003P8CtMAK,,a0z4N000007oUJyQAM
Water/Sewer Deposit (w/ $50 fee),200.0,Utility Deposit,Housing,05/03/21,Paid,a1KS0000003P8EQMA0,,a0z4N000007oTvrQAE
July Rent,1000.0,Rent,Housing,06/30/21,Paid,a1KS0000003P8DZMA0,,a0z4N000007oTq3QAE
Electricity Deposit,150.0,Utility Deposit,Housing,05/04/21,Paid,a1KS0000003P8ERMA0,,a0z4N000007oTwQQAU
June Rent,1000.0,Rent,Housing,05/31/21,Paid,a1KS0000003P8DXMA0,,a0z4N000007oTq1QAE
Walmart Gift Cards (4 @ $25) Children's Clothing,100.0,Gift Card,Other Assistance,04/27/21,Paid,a1KS0000003P8DYMA0,,a0z4N000007oTq2QAE
MDHA Rental Arrears,2627.19,Rental Arrears,Housing,06/07/21,Paid,a1KS0000003P8FqMAK,,a0z4N000007oUDdQAM
July Rent,1100.0,Rent,Housing,06/14/21,Paid,a1KS0000003P8FsMAK,,a0z4N000007oUXcQAM
NES Arrears,821.37,Utility Arrears,Housing,06/14/21,Paid,a1KS0000003P8FtMAK,,a0z4N000007oUXSQA2
Rental Arrears,1389.22,Rental Arrears,Housing,06/14/21,Paid,a1KS0000003P8FrMAK,,a0z4N000007oUXXQA2
Kroger Gift Card,100.0,Gift Card,Other Assistance,06/20/21,Paid,a1KS0000003P8H7MAK,,a0z4N000007oUosQAE
Goodwill Gift Cards (4 @ $25),100.0,Gift Card,Other Assistance,06/10/21,Paid,a1KS0000003P8H8MAK,,a0z4N000007oUonQAE
Gas Reconnection,188.65,Utilities,Housing,12/20/18,Paid,a1KS0000003P8GzMAK,,a0z610000044e3tAAA
Certified Nursing Exam,20.0,Tuition,Education,10/31/17,Paid,a1KS0000003P8DRMA0,,a0z610000044ETlAAM
Rent,636.0,Rent,Housing,07/23/18,Paid,a1KS0000003P88mMAC,Marina Manor East,a0z610000044ROBAA2
Current Water Services (w/ set up fee),138.53,Utilities,Housing,11/18/20,Paid,a1KS0000003P8GwMAK,,a0z4N000007Fe7bQAC
May Rent,25.0,Rent,Housing,05/03/21,Paid,a1KS0000003P8DjMAK,,a0z4N000007oTsrQAE
Water Deposit,125.0,Utility Deposit,Housing,12/06/18,Paid,a1KS0000003P89lMAC,,a0z610000044W3AAAU
Storage (payment to get items out),266.0,Other,Housing,12/05/18,Paid,a1KS0000003P89tMAC,,a0z610000044W2vAAE
Prorated June Rent,124.1,Rent,Housing,06/14/21,Paid,a1KS0000003P8FuMAK,,a0z4N000007oUEDQA2
November Rent,219.0,Rent,Housing,,Planned,a1KS0000003P8GhMAK,,a0z4N000007oUEPQA2
October Rent,219.0,Rent,Housing,,Planned,a1KS0000003P8FwMAK,,a0z4N000007oUEJQA2
September Rent,219.0,Rent,Housing,,Planned,a1KS0000003P8FyMAK,,a0z4N000007oUEOQA2
Madison Suburban Utility,63.98,Utilities,Housing,05/19/21,Paid,a1KS0000003P8DkMAK,,a0z4N000007oU6aQAE
Piedmont Gas Arrears,211.6,Utility Arrears,Housing,05/19/21,Paid,a1KS0000003P8EOMA0,,a0z4N000007oU6bQAE
Portion of June Rent,1000.0,Rent,Housing,05/27/21,Paid,a1KS0000003P8DaMAK,,a0z4N000007oTqBQAU
Portion of May Rent,1000.0,Rent,Housing,04/30/21,Paid,a1KS0000003P8H6MAK,,a0z4N000007oTMQQA2
"Walmart Gift Cards (6 Cards @ $25 a piece) (Food, Clothes for Kids)",150.0,Gift Card,Other Assistance,06/11/21,Paid,a1KS0000003P8GvMAK,,a0z4N000007oUUwQAM
"Walmart Gift Cards (6 Cards @ $25 a piece) (Food, Clothes for Kids)",150.0,Gift Card,Other Assistance,05/14/21,Paid,a1KS0000003P8EwMAK,,a0z4N000007oU4iQAE
June Rent,213.0,Rent,Housing,05/31/21,Paid,a1KS0000003P8GiMAK,,a0z4N000007oUEeQAM
2 Months Rent/Asst (Oct and Nov) to stay with Relative,800.0,Rent,Housing,11/18/20,Paid,a1KS0000003P8GtMAK,,a0z4N000007Fe7CQAS
July Rent,220.0,Rent,Housing,06/28/21,Paid,a1KS0000003P8HCMA0,,a0z4N000007oUiXQAU
Updated Difference in Deposit/Rent,112.0,Rent,Housing,05/20/21,Paid,a1KS0000003P8FcMAK,,a0z4N000007oU9HQAU
Portion of February 2021 Rent,425.0,Rent,Housing,01/25/21,Paid,a1KS0000003P88kMAC,October Homes,a0z4N000007FeADQA0
January Rent,960.0,Rent,Housing,12/22/20,Paid,a1KS0000003P8GyMAK,,a0z4N000007Fe7WQAS
1/2 February Rent,480.0,Rent,Housing,01/08/21,Paid,a1KS0000003P8GvMAK,,a0z4N000007Fe7SQAS
Rental Deposit,300.0,Rental Deposit,Housing,11/18/20,Paid,a1KS0000003P8GxMAK,,a0z4N000007Fe7HQAS
December Rent,960.0,Rent,Housing,11/18/20,Paid,a1KS0000003P8GuMAK,,a0z4N000007Fe7RQAS
July Rent,219.0,Rent,Housing,06/29/21,Paid,a1KS0000003P8FvMAK,,a0z4N000007oUEIQA2
Child Care Past Balance,1364.0,Tuition,Education,12/20/18,Paid,a1KS0000003P8GvMAK,,a0z610000044e4NAAQ
Rental Application Fee,51.25,,Housing,05/19/21,Paid,a1KS0000003P8FVMA0,,a0z4N000007oU84QAE
Rental Deposit,300.0,Rental Deposit,Housing,05/27/21,Paid,a1KS0000003P8FkMAK,,a0z4N000007oUAyQAM
December Rent,989.0,Rent,Housing,11/19/20,Paid,a1KS0000003P8HIMA0,,a0z4N000007Fe8XQAS
Rental Arrears,1229.81,Rental Arrears,Housing,11/19/20,Paid,a1KS0000003P8HHMA0,,a0z4N000007Fe8WQAS
Rent,995.0,Rent,Housing,12/03/18,Paid,a1KS0000003P89uMAC,,a0z610000044W2qAAE
NES,214.75,Utilities,Housing,12/07/18,Paid,a1KS0000003P8BoMAK,,a0z610000044Y9SAAU
Rent and Arrears,760.0,Rent,Housing,12/07/18,Paid,a1KS0000003P8BdMAK,,a0z610000044Y9NAAU
Portion of July Rent,804.0,Rent,Housing,06/28/21,Paid,a1KS0000003P8HBMA0,,a0z4N000007oUdbQAE
NES Bill,97.38,Utilities,Housing,05/24/21,Paid,a1KS0000003P8FjMAK,,a0z4N000007oUAjQAM
Walmart Gift Cards (4 Cards @ $25 a piece) Household Items,100.0,Gift Card,Other Assistance,05/05/21,Paid,a1KS0000003P8EUMA0,,a0z4N000007oTzAQAU
NES,32.4,Utilities,Housing,07/01/21,Paid,a1KS0000003P8H9MAK,,a0z4N000007oUrSQAU
Rental Deposit,1700.0,Rental Deposit,Housing,06/01/21,Paid,a1KS0000003P8FhMAK,,a0z4N000007oUA0QAM
June Rent,1700.0,Rent,Housing,06/01/21,Paid,a1KS0000003P8FiMAK,,a0z4N000007oUA5QAM
rental arrears,2000.0,Rental Arrears,Housing,08/16/18,Paid,a1KS0000003P8ElMAK,,a0z610000044NntAAE
December Rent,368.0,Rent,Housing,12/19/18,Paid,a1KS0000003P8GxMAK,,a0z610000044e43AAA
rental arrears,403.75,Rental Arrears,Housing,11/01/18,Paid,a1KS0000003P8EoMAK,,a0z610000044NmlAAE
December Rent,809.0,Rent,Housing,12/08/20,Paid,a1KS0000003P8H4MAK,,a0z4N000007FeRuQAK
December Rent,900.0,Rent,Housing,12/12/18,Paid,a1KS0000003P8GyMAK,,a0z610000044e3jAAA
NES Arrears (needed for move),96.21,Utility Arrears,Housing,06/10/21,Paid,a1KS0000003P8GwMAK,,a0z4N000007oUV1QAM
Metro Water Arrears,77.12,Utility Arrears,Housing,05/19/21,Paid,a1KS0000003P8EPMA0,,a0z4N000007oU6fQAE
August Rent,219.0,Rent,Housing,,Planned,a1KS0000003P8FxMAK,,a0z4N000007oUENQA2
Rental Deposit Admin Fee,150.0,Rental Deposit,Housing,05/27/21,Paid,a1KS0000003P8FnMAK,,a0z4N000007oUBDQA2
Pro Rated November Rent,128.0,Rent,Housing,11/18/20,Paid,a1KS0000003P8GzMAK,,a0z4N000007Fe7MQAS
